2019 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($)
144,CHO,Charlottesville Albemarle,Charlottesville,VA,418.09
145,PIA,General Downing - Peoria International,Peoria,IL,339.81
146,MLI,Quad City International,Moline,IL,387.79
147,BTR,Baton Rouge Metropolitan/Ryan Field,Baton Rouge,LA,485.4
148,TLH,Tallahassee International,Tallahassee,FL,520.49
149,BQN,Rafael Hernandez,Aguadilla,PR,213.54
150,AGS,Augusta Regional at Bush Field,Augusta,GA,451.37
151,FNT,Bishop International,Flint,MI,335.55
152,ROA,Roanoke Blacksburg Regional Woodrum Field,Roanoke,VA,460.42
153,STT,Cyril E King,Charlotte Amalie,VI,357.98
154,BIS,Bismarck Municipal,Bismarck/Mandan,ND,430.58
155,GRB,Green Bay Austin Straubel International,Green Bay,WI,481.09
156,AMA,Rick Husband Amarillo International,Amarillo,TX,438.36
157,SHV,Shreveport Regional,Shreveport,LA,470.23
158,AVP,Wilkes Barre Scranton International,Scranton/Wilkes-Barre,PA,398.14
159,DAB,Daytona Beach International,Daytona Beach,FL,419.97
160,CRP,Corpus Christi International,Corpus Christi,TX,484.37
161,HRL,Valley International,Harlingen/San Benito,TX,366.7
162,RAP,Rapid City Regional,Rapid City,SD,457.03
163,GNV,Gainesville Regional,Gainesville,FL,458.01
